timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771009048446,5545,run-noref-20260213-172250 - query_57.sql,null 0,"java.sql.SQLException: SYSTEM ERROR: GandivaException: Failed to cast the string 40.89 to int32_t

SqlOperatorImpl FILTER
Location 3:42:5
ErrorOrigin: EXECUTOR
[Error Id: 0da31a33-4ea6-43db-85f3-e3f894b7d33e on dremio-executor-tpcds-000-1.dremio-cluster-pod.dremio-v26.svc.cluster.local:0]

  (org.apache.arrow.gandiva.exceptions.GandivaException) Failed to cast the string 40.89 to int32_t
    org.apache.arrow.gandiva.evaluator.JniWrapper.evaluateFilter():-2
    org.apache.arrow.gandiva.evaluator.Filter.evaluate():193
    org.apache.arrow.gandiva.evaluator.Filter.evaluate():158
    com.dremio.sabot.op.llvm.NativeFilter.filterBatch():108
    com.dremio.exec.expr.SplitStageExecutor$NativeTimedFilter.apply():501
    com.dremio.exec.expr.SplitStageExecutor.evaluateFilter():445
    com.dremio.exec.expr.ExpressionSplitter.filterData():859
    com.dremio.sabot.op.filter.FilterOperator.consumeData():103
    com.dremio.sabot.driver.SmartOp$SmartSingleInput.consumeData():312
    com.dremio.sabot.driver.StraightPipe.pump():58
    com.dremio.sabot.driver.Pipeline.doPump():134
    com.dremio.sabot.driver.Pipeline.pumpOnce():124
    com.dremio.sabot.exec.fragment.FragmentExecutor$DoAsPumper.run():690
    com.dremio.sabot.exec.fragment.FragmentExecutor.run():595
    com.dremio.sabot.exec.fragment.FragmentExecutor$AsyncTaskImpl.run():1281
    com.dremio.sabot.task.AsyncTaskWrapper.run():130
    com.dremio.sabot.task.slicing.SlicingThread.mainExecutionLoop():281
    com.dremio.sabot.task.slicing.SlicingThread.run():186
",Test Group 1-1,text,false,,1503,0,1,1,null,0,0,0
1771009053994,15598,run-noref-20260213-172250 - query_58.sql,200,OK,Test Group 1-1,text,true,,528,0,1,1,null,15290,0,0
1771009069593,8643,run-noref-20260213-172250 - query_59.sql,200,OK,Test Group 1-1,text,true,,7128,0,1,1,null,8562,0,0
1771009078236,2274,run-noref-20260213-172250 - query_6.sql,null 0,"java.sql.SQLException: SYSTEM ERROR: GandivaException: Failed to cast the string 27.02 to int32_t

SqlOperatorImpl FILTER
Location 26:3:3
ErrorOrigin: EXECUTOR
[Error Id: 3621823c-f2e8-4ea8-a474-123bc835fed4 on dremio-executor-tpcds-000-3.dremio-cluster-pod.dremio-v26.svc.cluster.local:0]

  (org.apache.arrow.gandiva.exceptions.GandivaException) Failed to cast the string 27.02 to int32_t
    org.apache.arrow.gandiva.evaluator.JniWrapper.evaluateFilter():-2
    org.apache.arrow.gandiva.evaluator.Filter.evaluate():193
    org.apache.arrow.gandiva.evaluator.Filter.evaluate():158
    com.dremio.sabot.op.llvm.NativeFilter.filterBatch():108
    com.dremio.exec.expr.SplitStageExecutor$NativeTimedFilter.apply():501
    com.dremio.exec.expr.SplitStageExecutor.evaluateFilter():445
    com.dremio.exec.expr.ExpressionSplitter.filterData():859
    com.dremio.sabot.op.filter.FilterOperator.consumeData():103
    com.dremio.sabot.driver.SmartOp$SmartSingleInput.consumeData():312
    com.dremio.sabot.driver.StraightPipe.pump():58
    com.dremio.sabot.driver.Pipeline.doPump():134
    com.dremio.sabot.driver.Pipeline.pumpOnce():124
    com.dremio.sabot.exec.fragment.FragmentExecutor$DoAsPumper.run():690
    com.dremio.sabot.exec.fragment.FragmentExecutor.run():595
    com.dremio.sabot.exec.fragment.FragmentExecutor$AsyncTaskImpl.run():1281
    com.dremio.sabot.task.AsyncTaskWrapper.run():130
    com.dremio.sabot.task.slicing.SlicingThread.mainExecutionLoop():281
    com.dremio.sabot.task.slicing.SlicingThread.run():186
",Test Group 1-1,text,false,,1503,0,1,1,null,0,0,1
1771009080512,175589,run-noref-20260213-172250 - query_60.sql,200,OK,Test Group 1-1,text,true,,8434,0,1,1,null,175463,0,0
1771009256104,11490,run-noref-20260213-172250 - query_61.sql,200,OK,Test Group 1-1,text,true,,703,0,1,1,null,11396,0,0
1771009267595,9248,run-noref-20260213-172250 - query_62.sql,200,OK,Test Group 1-1,text,true,,2214,0,1,1,null,9159,0,0
1771009276845,36035,run-noref-20260213-172250 - query_63.sql,200,OK,Test Group 1-1,text,true,,532,0,1,1,null,35890,0,0
1771009312882,7875,run-noref-20260213-172250 - query_64.sql,200,OK,Test Group 1-1,text,true,,15219,0,1,1,null,7757,0,0
1771009320759,20200,run-noref-20260213-172250 - query_65.sql,200,OK,Test Group 1-1,text,true,,15706,0,1,1,null,20108,0,0
